#Status,Station No.,Station,Water Body,Catchment,River Basin District,Catchment Area,Latitude,Longitude
Level & Flow,25342,Ballymackeogh,MULKEAR,MULKEAR,SOUTH WESTERN RBD,98.80 km²,52.7073,-8.4406
Level & Flow,26021,Ballymahon,INNY,SHANNON,SHANNON RBD,1071.00 km²,53.56286722,-7.757922778
Level & Flow,19055,Ballymakera,Sullane,LEE,SOUTH WESTERN RBD,75.24 km²,51.934472,-9.146258
Level & Flow,23012,Ballymullen,LEE (KERRY),LEE [TRALEE] TYSHE BIG COASTAL,SHANNON RBD,60.00 km²,52.26005944,-9.691574722
Level & Flow,35001,Ballynacarrow,OWENMORE [Sligo],BALLYSADARE,WESTERN RBD,299.00 km²,54.14396972,-8.549059722
Level,12043,Ballynagee,HORSE RIVER,SLANEY,SOUTH EASTERN RBD,2.72 km²,52.326228,-6.48205199
Level & Historic Flow,35087,Ballynary,L.    ARROW,BALLYSADARE,WESTERN RBD,66.50 km²,54.06094,-8.30964999
Level & Flow,35005,Ballysadare,BALLYSADARE,BALLYSADARE,WESTERN RBD,642.30 km²,54.20919639,-8.509293889
Level & Flow,23045,Ballyseedy,LEE (KERRY),LEE [TRALEE] TYSHE BIG COASTAL,SHANNON RBD,31.93 km²,52.25618,-9.64171
Level & Historic Flow,19054,Ballyvourney,Sullane,LEE,SOUTH WESTERN RBD,71.59 km²,51.93931,-9.16104
Level & Flow,34013,Banada (Moy),MOY,MOY,WESTERN RBD,175.90 km²,54.03651944,-8.816832222
Level & Flow,26014,Banada Br (Lung),LUNG,Shannon-Estuary,SHANNON RBD,215.14 km²,53.89701361,-8.557030556
Level & Flow,25017,Banagher,SHANNON,SHANNON,SHANNON RBD,7989.00 km²,53.19378667,-7.993646667
Level & Flow,20001,Bandon,BANDON,BANDON,SOUTH WESTERN RBD,406.00 km²,51.74695444,-8.731538056
Level & Flow,21023,Bantry Library,MILL RIVER,COASTAL,SOUTH WESTERN RBD,2.63 km²,51.678456,-9.44923499
Level & Flow,25002,Barrington's Br,NEWPORT,SHANNON,SHANNON RBD,223.00 km²,52.64494583,-8.475033333
Level & Flow,14022,Barrow New Br,BARROW,BARROW,SOUTH EASTERN RBD,2050.50 km²,52.84613806,-6.931752222
Level & Flow,19108,Bawnafinny Bridge,BLARNEY,LEE,SOUTH WESTERN RBD,88.50 km²,51.93005,-8.58539
Level & Flow,16002,Beakstown,SUIR,SUIR,SOUTH EASTERN RBD,512.00 km²,52.64883889,-7.864804167
Level & Historic Flow,20016,Bealaboy Br,BANDON,BANDON,SOUTH WESTERN RBD,158.00 km²,51.70943583,-9.075758611
Level & Flow,26007,Bellagill,SUCK,SHANNON,SHANNON RBD,1184.00 km²,53.36168722,-8.238554167
Level & Flow,26009,Bellantra Br,BLACK [South Leitrim],SHANNON,SHANNON RBD,97.00 km²,53.85440056,-7.805156667
Level & Flow,36019,Belturbet,ERNE,ERNE,NORTH WESTERN RBD,1501.00 km²,54.09795806,-7.450869167
Level & Historic Flow,35004,Big Br,OWENMORE [Sligo],BALLYSADARE,WESTERN RBD,116.96 km²,54.05928278,-8.511155556
Level & Flow,35002,Billa Br,OWENBEG,BALLYSADARE,WESTERN RBD,81.15 km²,54.17926583,-8.553355556
Level & Flow,24053,Blackabbey,Adare River,Shannon-Estuary,SOUTH WESTERN RBD,3.04 km²,52.567713,-8.79192199
Level,07037,Blackcastle,BOYNE,BOYNE,EASTERN RBD,735.00 km²,53.65469667,-6.680586111
Level & Flow,15050,Blackfriar's Br,BREAGAGH [KILKENNY],NORE,SOUTH EASTERN RBD,71.04 km²,52.654644,-7.258209
Level & Flow,19058,Blackpool Retail Pk,Bride (Cork),LEE,SOUTH WESTERN RBD,10.76 km²,51.91658,-8.47343
Level,26074,Blackrock Lock,L.    ALLEN,Shannon,SHANNON RBD,442.10 km²,54.048448,-8.05076799
Level,23062,Blennerville,LEE ESTY,LEE [TRALEE] TYSHE BIG COASTAL,SHANNON RBD,98.00 km²,52.25789889,-9.735782222
Level & Flow,11001,Boleany,OWENAVORRAGH,OWENAVORRAGH,SOUTH EASTERN RBD,148.00 km²,52.64369028,-6.270794167
Level & Historic Flow,26004,Bookala,ISLAND,SHANNON,SHANNON RBD,136.00 km²,53.70559278,-8.512283611
Level & Historic Flow,14003,Borness,BARROW,SUIR,SOUTH EASTERN RBD,276.00 km²,53.13224944,-7.308428889
Level & Flow,15008,Borris-In-Ossory,NORE,BARROW,SOUTH EASTERN RBD,115.50 km²,52.94309056,-7.644112778
Level & Flow,16158,Borrisoleigh,Cromoge,SUIR,SOUTH EASTERN RBD,11.00 km²,52.757323,-7.97084899
Level & Flow,26108,Boyle Abbey Br,BOYLE,SHANNON,SHANNON RBD,533.00 km²,53.97283889,-8.296673056
Level & Flow,07007,Boyne Aqueduct,BOYNE,BOYNE,EASTERN RBD,441.18 km²,53.45313722,-6.958843611
Level & Flow,25301,Bracknagh Br,CLODIAGH RIVER,Shannon,SHANNON RBD,26.85 km²,53.18079694,-7.504752222
Level & Flow,36042,Breffni Park,Cavan River,ERNE,NORTH WESTERN RBD,58.53 km²,53.982018,-7.361984
Level & Historic Flow,21020,Bridge Street,Finnihy,INNY,SOUTH WESTERN RBD,31.47 km²,51.88108,-9.58579
Level & Flow,08008,Broadmeadow,BROADMEADOW,BROADMEADOW,EASTERN RBD,108.20 km²,53.47492167,-6.231774722
Level & Flow,15006,Brownsbarn,NORE,NORE,SOUTH EASTERN RBD,2388.00 km²,52.50076972,-7.091699722
Level & Flow,24004,Bruree,MAIGUE,MAIGUE,SHANNON RBD,242.00 km²,52.42322472,-8.660843889
Level & Historic Flow,26358,Bunowen Bridge,BUNOWEN,SUCK,SHANNON RBD,136.32 km²,53.350497,-8.253343
Level & Historic Flow,06025,Burley,DEE,DEE,NEAGH BANN RBD,175.98 km²,53.8480375,-6.594340833
Level & Flow,39018,Burnfoot Pumping Station,Burnfoot,Burnfoot,NORTH WESTERN RBD,16.86 km²,55.063793,-7.37533999
Level & Historic Flow,30082,Burriscara,L.    CARRA,CORRIB,WESTERN RBD,109.17 km²,53.73291167,-9.249068889
Level & Flow,36010,Butlers Br,ANNALEE,ERNE,NORTH WESTERN RBD,774.00 km²,54.04187944,-7.377087778
Level & Flow,16009,Caher Park,SUIR,SUIR,SOUTH EASTERN RBD,1602.00 km²,52.35767333,-7.922936944
Level,30081,Caher Pier,L.    MASK,CORRIB,WESTERN RBD,0.00 km²,53.61098694,-9.299348889
Level & Flow,29014,Caherfinesker,LAVALLY,CLARIN,WESTERN RBD,83.81 km²,53.26558472,-8.790411389
Level & Flow,15009,Callan,KINGS,SUIR,SOUTH EASTERN RBD,201.00 km²,52.54510056,-7.388463056
Level & Flow,03058,Cappog Br,BLACKWATER [MONAGHAN],BLACKWATER [MONAGHAN],NEAGH BANN RBD,65.00 km²,54.26680861,-7.021296944
