#Status,Station No.,Station,Water Body,Catchment,River Basin District,Catchment Area,Latitude,Longitude
Level & Flow,30005,Foxhill,ROBE,CORRIB,WESTERN RBD,250.00 km²,53.6581725,-9.154239722
Level & Flow,18019,Fr Murphy's Br,GLEN,BLACKWATER [MUNSTER],SOUTH WESTERN RBD,73.12 km²,52.12074139,-8.889025278
Level & Flow,07006,Fyanstown,MOYNALTY,BOYNE,EASTERN RBD,188.00 km²,53.72582306,-6.802883056
Level,30099,Galway Barrage,CORRIB,CORRIB,WESTERN RBD,3110.00 km²,53.27799361,-9.056271944
Level,30097,Galway Barrage D/S,CORRIB,CORRIB,WESTERN RBD,3135.40 km²,53.276276,-9.05644
Level & Flow,26404,Garrycastle,Al,SHANNON,SHANNON RBD,1.01 km²,53.419832,-7.885815
Level & Flow,39008,Gartan Br,LEANNAN,LEANNAN,NORTH WESTERN RBD,77.39 km²,55.00025333,-7.894476111
Level,18053,Glandalane,BLACKWATER [MUNSTER],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,2275.00 km²,52.14981139,-8.220838333
Level & Flow,03055,Glaslough,MOUNTAIN WATER,BLACKWATER [MONAGHAN],NEAGH BANN RBD,72.00 km²,54.32328083,-6.894343889
Level & Flow,16157,Gleann Beag,Glen,SUIR,SOUTH EASTERN RBD,8.10 km²,52.271401,-7.81088799
Level & Flow,19057,Glen Park,GLEN,LEE,SOUTH WESTERN RBD,7.85 km²,51.91294,-8.45212
Level & Flow,18024,Glenavuddig Br,FUNSHION,BLACKWATER [MUNSTER],SOUTH WESTERN RBD,248.89 km²,52.24857052,-8.405723056
Level & Flow,19059,Glennamought Br,Glen Tributary,LEE,SOUTH WESTERN RBD,17.41 km²,51.929203,-8.477429
Level & Flow,38010,Glenties,Stracashel,OWENEA,NORTH WESTERN RBD,42.36 km²,54.793407,-8.286056
Level & Flow,34011,Gneeve Br,MANULLA,MOY,WESTERN RBD,144.00 km²,53.86394667,-9.181784167
Level & Flow,29025,Gort 1B,STREAM,KINVARRA COASTAL,WESTERN RBD,13.27 km²,53.058571,-8.890456
Level & Flow,24100,Gortboy Hotel,DEEL,SHANNON,SHANNON RBD,39.87 km²,52.44866611,-9.050871111
Level & Flow,29020,Gortmackan,STREAM,Galway Bay South East,WESTERN RBD,34.54 km²,53.18355667,-8.642417778
Level,34082,Gortnaraby,L.    CONN,MOY,WESTERN RBD,0.00 km²,54.09336333,-9.298325556
Level & Flow,19045,Gothic Br,BLARNEY,LEE,SOUTH WESTERN RBD,22.40 km²,51.92805667,-8.558214444
Level & Flow,25027,Gourdeen,OLLATRIM,SHANNON,SHANNON RBD,118.00 km²,52.86841167,-8.168575
Level & Flow,14029,Graiguenamanagh U/S,BARROW,BARROW,SOUTH EASTERN RBD,2762.00 km²,52.54075444,-6.950884444
Level & Flow,24012,Grange Br,DEEL,SHANNON ESTUARY,SHANNON RBD,366.28 km²,52.4628125,-9.018853889
Level & Flow,24002,Gray's Br,CAMOGE,MAIGUE,SHANNON RBD,231.00 km²,52.51298806,-8.619798056
Level & Historic Flow,25012,Groody Br,GROODY,SHANNON,SHANNON RBD,65.00 km²,52.66475972,-8.583883056
Level & Flow,16159,Grove,Clashawley,SUIR,SOUTH EASTERN RBD,158.00 km²,52.458936,-7.67035299
Level & Flow,09109,Haynestown,HAYNESTOWN,LIFFEY,EASTERN RBD,9.50 km²,53.21669795,-6.59351873
Level & Historic Flow,09111,Hazelhatch,HAZELHATCH,LIFFEY,EASTERN RBD,1.02 km²,53.330431,-6.529406
Level,26088,Hodson's Bay,L.    REE,Shannon,SHANNON RBD,4588.38 km²,53.46740667,-7.987295
Level & Flow,27001,Inch Br (Claureen),CLAUREEN,SHANNON,SHANNON RBD,48.00 km²,52.82529139,-9.036241944
Level & Flow,23001,Inch Br (Galey),GALEY,FEALE,SHANNON RBD,192.00 km²,52.46805194,-9.534399444
Level,19094,Inniscarra Headrace,LEE,LEE,SOUTH WESTERN RBD,786.52 km²,51.900141,-8.661891
Level & Flow,19109,Inniscarra Tailrace,LEE,LEE,SOUTH WESTERN RBD,791.14 km²,51.89202,-8.63343
Level,36084,Innisconnell Pier,L.    OUGHTER,ERNE,NORTH WESTERN RBD,592.00 km²,54.01697361,-7.458314167
Level & Flow,26085,Jamestown,SHANNON,SHANNON,SHANNON RBD,1379.00 km²,53.92306028,-8.030334444
Level,26401,Jamestown Weir D/S,SHANNON,SHANNON,SHANNON RBD,1379.89 km²,53.928884,-8.03074
Level,26359,Jamestown Weir U/S,SHANNON,SHANNON,SHANNON RBD,1379.89 km²,53.928953,-8.030268
Level & Flow,15002,John's Br (Nore),NORE,NORE,SOUTH EASTERN RBD,1605.00 km²,52.65339167,-7.250432778
Level & Flow,26008,Johnston's Br,RINN,SHANNON,SHANNON RBD,292.00 km²,53.82777028,-7.862745833
Level & Flow,18115,Jordans Br,CLYDAGH [Cork],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,67.93 km²,52.07804806,-8.625178889
Level,16147,Joyce's Lane,SUIR,SUIR,SOUTH EASTERN RBD,2140.59 km²,52.35155588,-7.70670506
Level & Flow,18112,Keale Br,BLACKWATER [MUNSTER],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,322.00 km²,52.089673,-9.028653
Level,34114,Keenagh Deel Br,DEEL [Crossmolina],MOY,WESTERN RBD,65.00 km²,54.08130375,-9.514569457
Level & Flow,19115,Kilamucky,Kilta,LEE,SOUTH WESTERN RBD,21.09 km²,51.929182,-8.05982899
Level & Historic Flow,15007,Kilbricken,NORE,BARROW,SOUTH EASTERN RBD,339.76 km²,52.95925167,-7.461605556
Level & Flow,18110,Kilbrin Road,ALLOW,BLACKWATER [MUNSTER],SOUTH WESTERN RBD,123.47 km²,52.17898944,-8.904015556
Level & Flow,29011,Kilcolgan,DUNKELLIN,Kilcogan,WESTERN RBD,373.00 km²,53.21410944,-8.871328889
Level,29022,Kilcrimple,BEAGH,KINVARRA COASTAL,WESTERN RBD,10.92 km²,53.04550743,-8.73926398
Level & Flow,19111,Killaclug,Foherish,LEE,SOUTH WESTERN RBD,74.83 km²,51.911624,-9.02315
Level,29023,Killafeen,OWENDAIULLOEG,KINVARRA COASTAL,WESTERN RBD,89.61 km²,53.02323944,-8.76927
Level & Historic Flow,16007,Killardry,AHERLOW,SUIR,SOUTH EASTERN RBD,273.35 km²,52.41727611,-7.975713611
Level & Flow,09108,Killashee,Broadfield,LIFFEY,EASTERN RBD,16.00 km²,53.19459943,-6.67240854
Level & Flow,18003,Killavullen,BLACKWATER [MUNSTER],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,1258.00 km²,52.14919833,-8.515394444
Level & Flow,25020,Killeen,KILLIMOR,SHANNON,SHANNON RBD,197.00 km²,53.149715,-8.303336111
Level & Flow,21021,Killowen,KEELNAGOWER,FINNIHY,SOUTH WESTERN RBD,2.75 km²,51.884792,-9.577407
Level,36083,Killykeen Forest Park,L.   OUGHTER,ERNE,NORTH WESTERN RBD,592.00 km²,54.007865,-7.470649444
Level & Flow,07002,Killyon,DEEL [Raharney],BOYNE,EASTERN RBD,285.00 km²,53.48777083,-6.970770833
Level & Flow,36020,Killywillin,BLACKWATER [NEWTOWNGORE],ERNE,NORTH WESTERN RBD,93.40 km²,54.08032667,-7.691128333
Level & Flow,26022,Kilmore,FALLAN,SHANNON ESTUARY,SHANNON RBD,61.88 km²,53.71025667,-7.872534167
Level & Flow,19044,Kilnamona Br,MARTIN,LEE,SOUTH WESTERN RBD,39.59 km²,51.98953389,-8.5885725
Level & Flow,26408,Kiltoom Stream,STREAM,SHANNON,SHANNON RBD,,53.493835,-8.03516899
Level & Flow,36021,Kiltybardan,YELLOW,ERNE,NORTH WESTERN RBD,23.00 km²,54.05727611,-7.860888333
Level & Flow,34125,Knockanelo,Scruffaunbrogue,MOY,WESTERN RBD,6.58 km²,54.122681,-9.16127299
Level,34122,Knockglass House,DEEL [Crossmolina],MOY,WESTERN RBD,186.21 km²,54.12468,-9.29981
Level & Historic Flow,16139,Knocklofty,SUIR,SUIR,SOUTH EASTERN RBD,2105.50 km²,52.33673361,-7.789266111
Level,27025,Knox's Br,FERGUS,SHANNON ESTUARY,SHANNON RBD,58.74 km²,52.84817889,-8.972516667
Level,13070,Lady's Island,LADY'S ISLAND LAKE,COASTAL,SOUTH EASTERN RBD,0.00 km²,52.21100444,-6.383141111
Level & Flow,35071,Lareen,L.    MELVIN,DROWES,NORTH WESTERN RBD,101.77 km²,54.45230111,-8.240013611
Level & Flow,22035,Laune Br,LAUNE,LAUNE,SOUTH WESTERN RBD,559.70 km²,52.06154972,-9.617092222
Level & Flow,09001,Leixlip,RYEWATER,LIFFEY,EASTERN RBD,215.00 km²,53.36866472,-6.490438611
Level & Flow,14019,Levitstown,BARROW,BARROW,SOUTH EASTERN RBD,1660.00 km²,52.93537778,-6.949797222
Level & Flow,07010,Liscartan,BLACKWATER (KELLS),BOYNE,EASTERN RBD,717.00 km²,53.66326861,-6.7203325
Level,19119,Lisgoold Bridge,Owennacurra,Owennacurra,SOUTH WESTERN RBD,48.25 km²,51.971604,-8.21581499
Level & Flow,23044,Lisloose,BALLOONAGH,LEE [TRALEE] TYSHE BIG COASTAL,SHANNON RBD,1.79 km²,52.288343,-9.699101
Level & Flow,23002,Listowel,FEALE,FEALE,SHANNON RBD,646.00 km²,52.44265528,-9.475689167
Level & Historic Flow,18109,Lombardstown Br,BLACKWATER [MUNSTER],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,970.00 km²,52.12261472,-8.783208889
Level,26087,Lomcloon,L.    GARA,Shannon,SHANNON RBD,470.00 km²,53.92467278,-8.467148889
Level & Flow,20008,Long Br Dunmanway,BANDON,BANDON,SOUTH WESTERN RBD,104.10 km²,51.72469917,-9.097886944
Level,26082,Lough Derravaragh,L.    DERRAVARAGH,Shannon,SHANNON RBD,600.00 km²,53.61131583,-7.30328
Level,26079,Lough Rinn,LOUGH RINN,Shannon,SHANNON RBD,165.26 km²,53.89398889,-7.851743889
Level & Flow,26243,Lysterfield,STREAM,SHANNON,SHANNON RBD,9.00 km²,53.509258,-8.12438099
Level & Flow,19101,Macroom Town Bridge,Sullane,LEE,SOUTH WESTERN RBD,211.01 km²,51.906031,-8.962501
Level & Flow,18055,Mallow Railway Br,BLACKWATER [MUNSTER],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,1178.00 km²,52.13112457,-8.65671929
Level,18057,Mallow Town Br D/S,BLACKWATER [MUNSTER],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,1178.00 km²,52.1322175,-8.641036667
Level,18056,Mallow Town Br U/S,BLACKWATER [MUNSTER],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,1178.00 km²,52.13234,-8.641607778
Level & Flow,14121,Manor Road,POUND,BARROW,SOUTH EASTERN RBD,12.12 km²,53.115639,-7.338889
Level & Flow,23049,Manor West,Ballybeggan,LEE [TRALEE] TYSHE BIG COASTAL,SHANNON RBD,12.03 km²,52.26334,-9.6757
Level & Flow,06021,Mansfieldstown,GLYDE,GLYDE,NEAGH BANN RBD,321.00 km²,53.89660361,-6.444490556
Level,16073,Marlfield Reservoir,Marfield Lake,SUIR,SOUTH EASTERN RBD,18.72 km²,52.349257,-7.747831
Level & Flow,15004,Mcmahons Br,NORE,NORE,SOUTH EASTERN RBD,491.00 km²,52.86702444,-7.379327222
Level,25056,Meelick Weir U/S,SHANNON,SHANNON,SHANNON RBD,1514.90 km²,53.17607972,-8.076067778
Level & Flow,19117,Midleton Town Park,Dungourney,Owennacurra,SOUTH WESTERN RBD,52.14 km²,51.913101,-8.16597499
Level & Flow,34014,Mill Br (Clydagh),CLYDAGH,MOY,WESTERN RBD,52.85 km²,53.90906889,-9.184441944
Level & Flow,25014,Millbrook,SILVER,SHANNON ESTUARY,SHANNON RBD,164.42 km²,53.21954639,-7.797950278
Level & Historic Flow,25023,Milltown,LITTLE BROSNA,SHANNON ESTUARY,SHANNON RBD,113.86 km²,52.96926028,-7.897308611
Level & Flow,18001,Mogeely,BRIDE [Waterford],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,335.00 km²,52.09955722,-8.064303333
Level,23068,Moneycashen,FEALE ESTY,FEALE,SHANNON RBD,0.00 km²,52.48275028,-9.680923333
Level,07062,Mornington Br,Mornington,BOYNE ESTUARY,EASTERN RBD,0.00 km²,53.71942667,-6.254402778
Level & Flow,19104,Morris's Bridge,Laney,LEE,SOUTH WESTERN RBD,82.11 km²,51.92933,-8.93616
Level & Flow,15011,Mount Juliet,NORE,NORE,SOUTH EASTERN RBD,2315.50 km²,52.53125111,-7.189298889
Level,26083,Mount Nugent,L.    SHEELIN,Shannon,SHANNON RBD,256.00 km²,53.82095194,-7.283101944
Level & Flow,06011,Moyles Mill,FANE,FANE,NEAGH BANN RBD,230.00 km²,54.01157444,-6.596077222
Level & Historic Flow,25011,Moystown,BROSNA,SHANNON,SHANNON RBD,1227.00 km²,53.23825306,-7.932055
Level & Flow,26019,Mullagh,CAMLIN,SHANNON,SHANNON RBD,252.96 km²,53.73289833,-7.823796667
Level & Historic Flow,34117,Mullenmore Springs,DEEL [Crossmolina],MOY,WESTERN RBD,,54.09038181,-9.30899208
Level & Flow,25050,Mullingar Pump Hse,BROSNA,SHANNON,SHANNON RBD,54.00 km²,53.5278825,-7.334809444
Level & Flow,19105,Muskerry,Shournagh,LEE,SOUTH WESTERN RBD,209.13 km²,51.914717,-8.60186
Level & Flow,07009,Navan Weir,BOYNE,BOYNE,EASTERN RBD,1610.00 km²,53.64355944,-6.6720575
Level & Flow,25004,New Br (Bilboa),BILBOA,SHANNON ESTUARY,SHANNON RBD,122.26 km²,52.59164417,-8.314668889
Level & Historic Flow,25024,New Br (Little Brosna),LITTLE BROSNA,SHANNON,SHANNON RBD,508.00 km²,53.13191167,-7.975743333
Level & Flow,35028,New Br (Manorhamilton),BONET,GARVOGUE,WESTERN RBD,47.07 km²,54.31981167,-8.201256111
Level & Flow,16008,New Br (Suir),SUIR,SUIR,SOUTH EASTERN RBD,1090.50 km²,52.45946972,-7.997889722
Level & Flow,39001,New Mills,SWILLY,SWILLY COASTAL,NORTH WESTERN RBD,50.71 km²,54.93111333,-7.817926111
Level,16137,Newcastle Br,SUIR,SUIR,SOUTH EASTERN RBD,1941.00 km²,52.27491472,-7.810274722
Level & Flow,07115,Newfield,Ushers Stream,BOYNE,EASTERN RBD,7.06 km²,53.72338,-6.340371
Level & Historic Flow,24067,Normoyle's Br,GREANAGH,SHANNON ESTUARY,SHANNON RBD,83.74 km²,52.55980917,-8.825606111
Level & Flow,07011,O'Dalys Br,BLACKWATER (KELLS),BOYNE,EASTERN RBD,294.00 km²,53.76898194,-7.011203333
Level & Flow,23047,Oakpark Road,BIG [KERRY],LEE [TRALEE] TYSHE BIG COASTAL,SHANNON RBD,9.03 km²,52.28572,-9.6814
Level & Flow,29015,Oranmore Br,SPRING,BALLYNAMANAGH,WESTERN RBD,40.00 km²,53.27176167,-8.929459167
Level & Flow,21022,Orchard Grove,Finnihy,FINNIHY,SOUTH WESTERN RBD,27.79 km²,51.884092,-9.587665
Level & Flow,30101,Oughterard,OWENRIFF,CORRIB,WESTERN RBD,66.00 km²,53.43139917,-9.321143611
Level & Flow,19103,Ovens Bridge,Bride (Cork),LEE,SOUTH EASTERN RBD,117.82 km²,51.880537,-8.654934
Level & Flow,32014,Owenmore Br,OWENMORE,ERRIFF,WESTERN RBD,31.66 km²,53.69703861,-9.608128889
Level & Flow,27011,Owenogarney Railway Br,OWENOGARNEY,OWENOGARNEY,SHANNON RBD,0.00 km²,52.73270444,-8.771001111
Level & Flow,30002,Ower Br,BLACK [Shrule],CORRIB,WESTERN RBD,178.00 km²,53.48148528,-9.160028611
Level & Flow,14006,Pass Br,BARROW,BARROW,SOUTH EASTERN RBD,1096.00 km²,53.14592333,-7.070581111
Level,16125,Piltown,PIL,SUIR,SOUTH EASTERN RBD,83.65 km²,52.34931667,-7.324866944
Level & Historic Flow,25015,Pollagh,BROSNA,SHANNON,SHANNON RBD,918.00 km²,53.28134944,-7.715862222
Level,34071,Pollagh,MOY,MOY,WESTERN RBD,1797.00 km²,53.9652838,-9.12962645
Level,34081,Pontoon,L.    CULLIN,MOY,WESTERN RBD,819.40 km²,53.97766528,-9.208075833
Level,39061,Port Br,SWILLY ESTUARY,SWILLY COASTAL,NORTH WESTERN RBD,111.46 km²,54.94844722,-7.714145833
Level & Flow,14005,Portarlington,BARROW,BARROW,SOUTH EASTERN RBD,406.00 km²,53.16181278,-7.192953333
Level,25341,Portumna Bridge,SHANNON,SHANNON,SHANNON RBD,8806.68 km²,53.0915,-8.19565599
Level & Flow,29024,Poulataggle,STREAM,KINVARRA COASTAL,WESTERN RBD,13.27 km²,53.05858833,-8.890516389
Level & Flow,10051,Powerscourt House,Dargle,AVOCA,EASTERN RBD,58.12 km²,53.181773,-6.175674
Level & Flow,14125,Prusselstown,Moneen,BARROW,SOUTH EASTERN RBD,27.26 km²,53.008058,-6.96705399
Level,30096,Quincentennial Bridge,CORRIB,CORRIB,WESTERN RBD,3135.00 km²,53.282653,-9.05982
Level,12008,Rafter Br D/S,SLANEY,SLANEY,SOUTH EASTERN RBD,1320.66 km²,52.5009175,-6.564173056
Level,12009,Rafter Br U/S,SLANEY,SLANEY,SOUTH EASTERN RBD,1320.66 km²,52.50106139,-6.564197778
Level & Flow,25016,Rahan (Clodiagh),CLODIAGH,SHANNON,SHANNON RBD,253.78 km²,53.28079861,-7.615675556
Level & Flow,34001,Rahans (Moy),MOY,MOY,WESTERN RBD,1911.00 km²,54.10392667,-9.157682778
Level & Flow,26405,Rahara,STREAM,SHANNON,SHANNON RBD,2.00 km²,53.525362,-8.13081199
Level & Flow,29002,Rahasane Turlough,DUNKELLIN,DUNKELLIN,WESTERN RBD,332.00 km²,53.21694667,-8.807869167
Level,26356,Raherbeg Rail Bridge,SUCK,SHANNON,SHANNON RBD,1590.63 km²,53.273998,-8.086201
Level & Flow,14011,Rathangan,SLATE,BARROW,SOUTH EASTERN RBD,163.00 km²,53.22061583,-6.992655278
Level & Flow,29001,Rathgorgin,RAFORD,DUNKELLIN,WESTERN RBD,119.00 km²,53.25784861,-8.679536389
Level & Flow,24013,Rathkeale,DEEL,SHANNON,SHANNON RBD,426.00 km²,52.52096028,-8.943546111
Level & Flow,16003,Rathkennan,CLODIAGH,SUIR,SOUTH EASTERN RBD,246.00 km²,52.62930278,-7.924926389
Level,10062,Ravenswell Road,Dargle,Dargle,EASTERN RBD,128.04 km²,53.208295,-6.104617
Level & Historic Flow,34118,Richmond Br.,DEEL,MOY,WESTERN RBD,146.81 km²,54.07782056,-9.37275274
Level & Flow,24034,Riversfield Weir,LOOBAGH,MAIGUE,SHANNON RBD,54.66 km²,52.38757417,-8.540769444
Level,23050,Riverside Close,BRICK,FEALE,SHANNON RBD,6.39 km²,52.344863,-9.688059
Level & Flow,26010,Riverstown,CLOONE,Shannon,SHANNON RBD,100.00 km²,53.93121306,-7.815074167
Level & Flow,22003,Riverville,MAINE,LAUNE,SOUTH WESTERN RBD,272.00 km²,52.19762111,-9.570731944
Level & Flow,26002,Rookwood,SUCK,SHANNON,SHANNON RBD,626.00 km²,53.56371722,-8.292659444
Level & Flow,24047,Rossbrien Railway Br,BALLINACURRA,SHANNON ESTUARY,SHANNON RBD,31.79 km²,52.63608639,-8.632613611
Level & Flow,14018,Royal Oak,BARROW,BARROW,SOUTH EASTERN RBD,2415.00 km²,52.70019833,-6.981458056
Level & Flow,29009,Russaun,BEAGH,Galway Bay South East,WESTERN RBD,124.40 km²,53.05341111,-8.772401944
Level & Flow,36012,Sallaghan,ERNE,ERNE,NORTH WESTERN RBD,263.00 km²,53.88669139,-7.503405
Level,16146,Sandy Banks,SUIR,SUIR,SOUTH EASTERN RBD,2121.00 km²,52.343133,-7.74194399
Level & Flow,01041,Sandy Mills,DEELE,DEELE,NORTH WESTERN RBD,113.00 km²,54.83831806,-7.575758056
Level & Flow,12001,Scarawalsh,SLANEY,SLANEY,SOUTH EASTERN RBD,1036.00 km²,52.54851278,-6.550221667
Level & Flow,25030,Scarriff,GRANEY,SHANNON,SHANNON RBD,279.00 km²,52.90836472,-8.533124722
Level & Historic Flow,34005,Scarrownageeragh,GWEESTION,MOY,WESTERN RBD,309.11 km²,53.92268444,-9.060983333
Level,26374,Scragh Bog,STREAM,Shannon,SHANNON RBD,1.37 km²,53.58537,-7.36614
Level & Flow,31075,Shannagurraun,OWENBOLISKEY,OWENBOLISKA CASHLA SCREEB COASTAL,WESTERN RBD,85.17 km²,53.27434528,-9.308306111
Level,26028,Shannonbridge,SHANNON,SHANNON,SHANNON RBD,4999.00 km²,53.2798725,-8.049581389
Level,13072,Sigginstown,L. TACUMSHIN,BRIDGETOWN DUNCORMICK COASTAL,SOUTH EASTERN RBD,0.00 km²,52.20193,-6.45444
Level,20020,Skibbereen,Ilen,Ilen,SOUTH WESTERN RBD,0.00 km²,51.551701,-9.264979
Level & Flow,07012,Slane Castle,BOYNE,BOYNE,EASTERN RBD,2408.00 km²,53.70721167,-6.5624225
Level,23030,Sleveen Main Channel,BRICK,FEALE,SHANNON RBD,175.09 km²,52.43261611,-9.636918056
Level & Flow,21018,Sneem,Sneem,INNY,SOUTH WESTERN RBD,58.77 km²,51.84175,-9.89931
Level & Flow,23046,Spring Water Lane,Lissardboola,LEE [TRALEE] TYSHE BIG COASTAL,SHANNON RBD,13.46 km²,52.254746,-9.689834
Level,12007,St. Johns Br,URRIN,SLANEY,SOUTH EASTERN RBD,115.43 km²,52.49329083,-6.573358611
Level,14067,St. Mullins,BARROW ESTY,BARROW ESTUARY,SOUTH EASTERN RBD,0.00 km²,52.4854725,-6.92429
Level & Flow,07004,Stramatt,BLACKWATER (KELLS),BOYNE,EASTERN RBD,256.00 km²,53.79629806,-7.043613333
Level & Flow,25005,Sunville,DEAD,Shannon,SHANNON RBD,190.00 km²,52.58146778,-8.329348056
Level,15104,Sycamores,NORE,NORE,SOUTH EASTERN RBD,1569.00 km²,52.66592,-7.256381944
Level & Flow,25022,Syngefield,CAMCOR,Shannon,SHANNON RBD,160.00 km²,53.09280472,-7.881580278
Level & Flow,06014,Tallanstown Weir,GLYDE,GLYDE,NEAGH BANN RBD,270.00 km²,53.92109194,-6.54957
Level & Flow,16012,Tar Br,TAR,SUIR,SOUTH EASTERN RBD,228.00 km²,52.27300361,-7.842907222
Level & Historic Flow,35078,Templehouse Demesne,L.    TEMPLEHOUSE,BALLYSADARE,WESTERN RBD,274.00 km²,54.11164083,-8.582531111
Level & Flow,16156,Templemore,MALL,SUIR,SOUTH EASTERN RBD,19.30 km²,52.796265,-7.84057999
Level,30117,Terryland,Terryland/Sandy River,CORRIB,WESTERN RBD,5.99 km²,53.285939,-9.041714
Level & Flow,16004,Thurles,SUIR,SUIR,SOUTH EASTERN RBD,228.74 km²,52.67906389,-7.809622222
Level & Flow,07049,Tinker's Br,STREAM,BOYNE,EASTERN RBD,0.57 km²,53.34453417,-7.331587222
Level & Flow,09107,Tipper,MORELL,LIFFEY,EASTERN RBD,10.60 km²,53.20466715,-6.6251927
Level & Historic Flow,22071,Tomies Pier,L.    LEANE,LAUNE,SOUTH WESTERN RBD,557.70 km²,52.05684333,-9.605025
Level & Flow,22005,Torc Weir,OWENGARRIFF,LAUNE,SOUTH WESTERN RBD,8.03 km²,52.00097667,-9.506219722
Level & Flow,07001,Tremblestown,TREMBLESTOWN,BOYNE,EASTERN RBD,150.00 km²,53.56206472,-6.8556425
Level & Flow,07005,Trim,BOYNE,BOYNE,EASTERN RBD,1282.00 km²,53.55640528,-6.791843889
Level & Flow,12005,Tullow Town Br U/S,SLANEY,SLANEY,SOUTH EASTERN RBD,249.12 km²,52.80201306,-6.738373056
Level & Flow,39003,Tullyarvan,CRANA,Swilly Coastal,NORTH WESTERN RBD,99.00 km²,55.14361194,-7.452395
Level & Flow,14122,Turf Market,DUISKE,BARROW,SOUTH EASTERN RBD,24.41 km²,52.540332,-6.95592
Level & Flow,34018,Turlough,CASTLEBAR,MOY,WESTERN RBD,95.73 km²,53.88554528,-9.208034444
Level & Flow,36037,Urney Br,ERNE,ERNE,NORTH WESTERN RBD,870.33 km²,54.04891472,-7.405638889
Level,27023,Victoria Br,FERGUS,SHANNON ESTUARY,SHANNON RBD,55.64 km²,52.8485575,-8.990841667
Level,25058,Victoria Lock,CANAL,Shannon,SHANNON RBD,0.00 km²,53.16877194,-8.080450833
Level,07081,Virginia,RAMOR L.,BOYNE,EASTERN RBD,246.00 km²,53.83161528,-7.090788333
Level & Flow,07033,Virginia Hatchery,BLACKWATER (KELLS),BOYNE,EASTERN RBD,129.00 km²,53.83437028,-7.078577222
Level,26353,W.O.P.S. Rail Bridge,SHANNON,SHANNON,SHANNON RBD,6575.53 km²,53.26828507,-8.04051571
Level & Historic Flow,25308,Waterpark Br,NEWPORT,SHANNON ESTUARY,SHANNON RBD,123.46 km²,52.69524639,-8.464589444
Level & Flow,19102,Waterworks Weir,LEE,LEE,SOUTH WESTERN RBD,1185.00 km²,51.893989,-8.510053
Level & Flow,22009,White Br,DEENAGH ( LAUNE),LAUNE,SOUTH WESTERN RBD,35.40 km²,52.05492056,-9.527219167
Level,12044,Whitemill South,HORSE RIVER,SLANEY,SOUTH EASTERN RBD,3.50 km²,52.328281,-6.47393299
Level & Flow,26006,Willsbrook,SUCK,SUCK,SHANNON RBD,182.00 km²,53.72935694,-8.466028333
Level & Flow,30061,Wolfe Tone Br,CORRIB ESTY.,CORRIB,WESTERN RBD,3111.00 km²,53.26998,-9.05567
Level,16148,Workhouse Br,SUIR,SUIR,SOUTH EASTERN RBD,2139.69 km²,52.34965744,-7.7168139
